Frame result index,Frame Number,Person UUID,Person UUID Confidence,Headpose Pitch (deg),Headpose Yaw (deg),Headpose Roll (deg),Headpose Pitch Calib (deg),Headpose Yaw Calib (deg),Headpose (X:Y:Z) (mm),Headpose Confidence,Face Rect (X:Y Width X Height),Face Rect detect algorithm,Face Rect Confidence,EyeState Right,EyeState Left,EyeState Right Confidence,EyeState Left Confidence,Eyewear,Eyewear Confidence,EyeGaze Horizontal Left (deg),EyeGaze Horizontal Right (deg),EyeGaze Vertical Left (deg),EyeGaze Vertical Right (deg),Iris RadiusL (mm),Iris RadiusR (mm),Eye Aperture Left (mm),Eye Aperture Right (mm),Eye Aperture Left Confidence,Eye Aperture Right Confidence,Eyelid Closed Left (%),Eyelid Closed Right (%),Eye Center Left (X:Y) (mm),Eye Center Right (X:Y) (mm),Drowsiness Level (0-10),Age,Gender,Ethnic,Emotion,Heart rate,Breath rate,Illumination Variance,Illumination Tl Average,Illumination Bl Average,Illumination Tr Average,Illumination Br Average,Frame Time,Time From Start
0,24,,0,1.07883,1.35353,1.83018,0,0,-24.0289:-41.3613:728.69,0.99,204:145 183x183,512,0.806386,closed,closed,0.999938,0.999975,none,0.999648,9999,9999,9999,9999,9999,9999,0,0,0.989999,0.989449,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.378,920
0,25,,0,0.976591,1.38542,1.87481,0,0,-23.9673:-41.4228:728.697,0.99,204:145 183x183,512,0.805579,closed,closed,0.999924,0.999906,none,0.999621,9999,9999,9999,9999,9999,9999,0,0,0.99,0.989997,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.418,960
0,26,,0,1.05257,1.27733,1.90448,0,0,-24.1753:-41.4832:728.703,0.99,204:145 183x183,512,0.804774,closed,closed,0.999938,0.999892,none,0.999621,9999,9999,9999,9999,9999,9999,0,0,0.989599,0.988878,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.458,1000
0,27,,0,0.899343,1.25297,1.73648,0,0,-24.2345:-41.3587:728.709,0.99,204:145 183x183,512,0.803969,closed,closed,0.999877,0.999953,none,0.999579,9999,9999,9999,9999,9999,9999,0,0,0.989999,0.989992,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.498,1040
0,28,,0,0.50679,1.49748,1.61075,0,0,-24.2897:-41.5659:728.714,0.99,204:145 183x183,512,0.803165,closed,closed,0.99989,0.999865,none,0.999579,9999,9999,9999,9999,9999,9999,0,0,0.989958,0.98999,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.538,1080
0,29,,0,0.445542,1.73315,2.01108,0,0,-24.7552:-41.701:728.719,0.99,203:145 183x183,512,0.802362,closed,closed,0.999914,0.999918,none,0.999594,9999,9999,9999,9999,9999,9999,0,0,0.977777,0.989955,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.578,1120
0,30,,0,0.581181,1.42574,1.9362,0,0,-24.8364:-41.4521:728.723,0.99,204:146 183x183,512,0.794338,closed,closed,0.999855,0.999796,none,0.999594,9999,9999,9999,9999,9999,9999,0,0,0.989975,0.989402,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.618,1160
0,31,,0,0.499775,1.38162,1.57057,0,0,-24.9079:-41.2135:728.728,0.99,204:146 183x183,512,0.793544,closed,closed,0.999907,0.999874,none,0.999611,9999,9999,9999,9999,9999,9999,0,0,0.987443,0.989942,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.658,1200
0,32,,0,0.390136,1.48633,1.83013,0,0,-24.7138:-40.8216:728.732,0.99,204:146 183x183,512,0.79275,closed,closed,0.999839,0.999887,none,0.999611,9999,9999,9999,9999,9999,9999,0,0,0.989626,0.987759,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.698,1240
0,33,,0,0.45106,1.23284,1.64781,0,0,-24.1049:-40.4946:728.735,0.989999,205:146 183x183,512,0.791957,closed,closed,0.999782,0.999741,none,0.99961,9999,9999,9999,9999,9999,9999,0,0,0.989978,0.988416,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.738,1280
0,34,,0,0.513125,1.30798,1.491,0,0,-24.0675:-40.7348:728.739,0.99,205:145 183x183,512,0.791166,closed,closed,0.999757,0.999673,none,0.99961,9999,9999,9999,9999,9999,9999,0,0,0.987925,0.97674,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.778,1320
0,35,,0,0.592247,1.47665,1.58012,0,0,-24.0295:-40.8142:728.742,0.99,205:145 183x183,512,0.790374,closed,closed,0.926563,0.998586,none,0.99954,9999,9999,9999,9999,9999,9999,0,0,0.989871,0.824976,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.818,1360
0,36,,0,1.06303,1.01913,1.63425,0,0,-23.4738:-40.6882:728.745,0.99,205:146 183x183,512,0.789584,opened,opened,0.975306,0.998862,none,0.99954,3.94607,3.94607,7.66885,7.66885,5.24511,5.24511,2.67562,3.7065,0.989963,0.805272,0.756762,0.663046,7:-20,-50:-20,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.858,1400
0,37,,0,1.12199,0.670237,1.51196,0,0,-23.2161:-40.6614:728.748,0.99,205:145 183x183,512,0.788794,opened,opened,0.999996,1,none,0.999565,3.94442,3.94442,7.56562,7.56562,5.24513,4.37094,3.91337,4.30291,0.989962,0.987582,0.644239,0.608826,5:-21,-48:-20,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.898,1440
